depth (ft),DTC (us/ft),DTS (us/ft)
5115,90.7608,156.6938
5115.5,91.0772,157.3378
5116,90.1067,155.2548
5116.5,90.5671,156.8894
5117,89.6795,155.0103
5117.5,88.5735,153.4388
5118,70.1142,197.931
5118.5,73.368,190.8738
5119,74.6804,211.5911
5119.5,77.0577,201.8549
5120,76.4228,185.2123
5120.5,75.5134,183.7306
5121,74.0066,182.2489
5121.5,72.3434,199.0093
5122,71.5966,217.4849
5122.5,70.4934,201.4709
5123,72.2526,211.7664
5123.5,73.6205,205.6454
5124,73.7436,201.3676
5124.5,73.5426,201.7469
5125,74.7917,190.1402
5125.5,74.2789,206.6456
5126,74.6966,190.5241
5126.5,75.0364,195.6274
5127,75.5757,188.4308
5127.5,75.3631,184.1604
5128,74.9393,188.3647
5128.5,76.0821,201.5013
5129,72.6029,205.3385
5129.5,95.8548,171.7617
5130,95.5456,185.6715
5130.5,96.1289,179.2982
5131,95.095,158.2236
5131.5,94.9209,153.4999
5132,94.7581,161.0179
5132.5,93.5354,148.9315
5133,92.9137,144.6574
5133.5,92.9705,151.2855
5134,94.0348,153.3592
5134.5,94.2247,159.0602
5135,95.4247,163.7339
5135.5,95.8525,173.7077
5136,97.8345,160.6494
5136.5,96.8006,147.1501
5137,95.8956,160.9744
5137.5,93.2888,152.6489
5138,91.3588,145.8297
5138.5,89.9505,142.2591
5139,88.9698,137.358
5139.5,87.0846,152.7454
5140,88.9735,150.2009
5140.5,90.3987,218.1055
5141,91.1729,223.4171
5141.5,91.1429,202.0746
5142,91.4242,169.5611
5142.5,91.6245,162.5091
5143,92.6631,141.5148
5143.5,92.9341,146.1186
5144,93.5569,133.6927
5144.5,95.0357,161.6665
5145,93.3907,180.6569
5145.5,88.3624,180.4906
5146,88.5022,161.9839
5146.5,88.2303,149.5073
5147,87.9007,140.6635
5147.5,87.0669,148.4623
5148,87.4384,144.7679
5148.5,87.1098,170.2473
5149,84.768,154.5422
5149.5,80.024,164.2613
5150,76.9404,126.8241
5150.5,75.5189,136.9965
5151,75.8414,147.4728
5151.5,77.107,138.439
5152,79.4551,146.8852
5152.5,80.1275,149.2832
5153,81.2965,150.6351
5153.5,80.5027,147.945
5154,78.5752,144.0707
5154.5,77.2861,140.7652
5155,76.0955,137.2919
5155.5,77.4382,140.3579
5156,78.747,144.5538
5156.5,80.6816,161.5568
5157,85.4373,167.6667
5157.5,86.5411,168.1368
5158,85.7742,165.6502
5158.5,81.8145,152.6432
5159,76.9972,141.708
5159.5,74.6405,138.0475
5160,73.918,134.3668
5160.5,72.9881,134.6025
5161,70.6541,131.017
5161.5,70.3154,126.5105
5162,68.2713,125.3421
5162.5,64.2715,118.7308
5163,57.9452,112.7404
5163.5,54.2315,106.4179
5164,49.3006,101.1393
5164.5,48.6093,98.2395
5165,46.7769,98.5376
5165.5,47.6919,95.0032
5166,47.0965,92.3078
5166.5,47.2167,95.9393
5167,46.825,96.0021
5167.5,47.4132,94.2504
5168,48.2833,94.1394
5168.5,47.7699,95.3368
5169,48.9384,93.4016
5169.5,48.285,95.4636
5170,47.7034,95.4235
5170.5,48.0457,95.4569
5171,46.9166,96.1159
5171.5,47.922,95.4005
5172,47.2301,92.7556
5172.5,46.51,91.522
5173,48.0898,96.5166
5173.5,48.2245,92.3006
5174,47.6765,93.6822
5174.5,47.7427,95.0309
5175,47.6778,91.9488
5175.5,47.6791,90.7416
5176,47.8978,91.3012
5176.5,47.6142,90.2785
5177,47.9466,92.4377
5177.5,48.0139,92.2942
5178,48.0471,92.009
5178.5,48.1972,91.9515
5179,48.6677,92.7819
5179.5,49.199,92.4094
5180,49.9563,91.3747
5180.5,50.3241,90.3415
5181,50.2985,90.6047
5181.5,49.9434,80.572
5182,50.2413,77.6741
5182.5,51.4867,84.0541
5183,53.3714,86.2028
5183.5,54.5784,77.5217
5184,55.7984,79.4915
5184.5,56.35,91.7155
5185,56.5483,101.7294
5185.5,56.8182,97.4027
5186,56.6912,91.1808
5186.5,56.7645,85.5719
5187,56.6662,82.2847
5187.5,56.8599,95.1487
5188,56.2658,90.7431
5188.5,55.9254,89.4228
5189,55.9845,94.2953
5189.5,56.4431,93.2715
5190,57.6237,93.1992
5190.5,58.9883,100.7324
5191,58.3812,101.7834
5191.5,58.6779,101.2595
5192,58.591,103.6831
5192.5,58.2262,102.4295
5193,58.5895,101.4578
5193.5,59.6366,100.8317
5194,59.9486,100.2125
5194.5,60.3448,102.5632
5195,60.9062,104.5392
5195.5,62.2225,112.9029
5196,62.8863,114.191
5196.5,62.3936,115.075
5197,62.5492,120.7822
5197.5,62.9322,119.749
5198,61.2644,116.5308
5198.5,61.8324,114.6294
5199,62.1287,112.3294
5199.5,63.0583,109.8946
5200,63.4103,111.2762
5200.5,63.4815,112.3997
5201,65.4329,114.1931
5201.5,66.2282,117.3162
5202,67.3861,119.81
5202.5,67.309,123.6433
5203,67.736,123.1593
5203.5,67.9014,124.4314
5204,67.5648,123.909
5204.5,67.8255,122.9773
5205,68.0255,123.3559
5205.5,68.7953,123.3025
5206,69.6793,128.4953
5206.5,71.5459,127.8917
5207,71.7938,130.8823
5207.5,72.1751,132.7527
5208,72.5074,135.1453
5208.5,72.0726,129.483
5209,70.5895,127.5551
5209.5,67.7911,118.4005
5210,64.0538,114.4015
5210.5,62.1594,110.9574
5211,59.8998,109.8966
5211.5,60.261,108.8886
5212,60.1647,106.9202
5212.5,59.5296,104.9808
5213,58.9552,103.1479
5213.5,54.1836,101.2563
5214,52.5473,97.1141
5214.5,49.8672,94.2126
5215,47.9991,92.0502
5215.5,48.1979,92.4606
5216,47.8861,91.6396
5216.5,49.3355,94.1792
5217,54.5202,103.7042
5217.5,56.2219,112.9535
5218,64.2511,118.8278
5218.5,69.8018,126.1051
5219,72.1526,129.7677
5219.5,72.2076,127.0824
5220,70.0163,127.9483
5220.5,68.3339,118.3877
5221,67.1354,115.0368
5221.5,64.845,114.9465
5222,63.1215,109.5315
5222.5,59.4022,106.1727
5223,57.6327,104.7824
5223.5,56.5717,101.8558
5224,54.0795,95.9233
5224.5,54.4215,96.0451
5225,55.9615,97.1171
5225.5,56.9645,100.2219
5226,58.4863,98.1217
5226.5,58.3798,97.0552
5227,56.6646,97.5154
5227.5,56.2246,99.5872
5228,55.5045,101.0819
5228.5,55.3509,103.2447
5229,55.8812,102.238
5229.5,56.3316,98.7784
5230,56.4828,99.051
5230.5,58.4999,101.8086
5231,60.0845,116.9322
5231.5,60.2744,124.7962
5232,60.9151,113.3516
5232.5,61.339,116.952
5233,62.4126,116.0051
5233.5,63.1711,115.6393
5234,63.5737,121.2839
5234.5,63.1987,116.3457
5235,64.5525,115.3986
5235.5,65.1897,120.2204
5236,65.6085,120.7211
5236.5,65.983,115.9608
5237,66.1516,116.1002
5237.5,67.0631,123.4825
5238,66.6866,119.5792
5238.5,65.9399,113.6285
5239,66.2166,115.2127
5239.5,65.908,112.0625
5240,67.1293,108.9427
5240.5,66.8569,112.0438
5241,68.0793,113.2542
5241.5,67.8499,111.5934
5242,68.2098,110.5417
5242.5,68.077,101.2731
5243,68.04,111.1887
5243.5,68.4148,115.2205
5244,68.5633,111.3116
5244.5,69.1111,118.5736
5245,69.7011,121.7635
5245.5,70.046,145.2671
5246,70.0483,150.6452
5246.5,70.0693,150.6452
5247,70.0345,143.2097
5247.5,69.9688,126.3121
5248,70.1842,124.3129
5248.5,69.9759,121.2739
5249,70.1129,122.4828
5249.5,71.4783,122.9461
5250,71.7937,125.2785
5250.5,72.1646,125.8039
5251,72.1633,126.1184
5251.5,71.9996,128.7871
5252,71.7863,128.2004
5252.5,71.892,131.3179
5253,71.8374,131.3179
5253.5,71.8402,132.9321
5254,72.3836,132.6267
5254.5,72.4865,130.0142
5255,72.7842,129.5945
5255.5,72.9202,132.9716
5256,72.8816,131.4023
5256.5,72.6639,131.2218
5257,71.9434,127.0411
5257.5,71.3189,124.0789
5258,67.9795,122.8849
5258.5,65.8722,116.0095
5259,63.6673,112.2448
5259.5,60.7321,112.5746
5260,58.179,105.9219
5260.5,56.448,96.4271
5261,55.1671,92.8518
5261.5,54.0926,93.8302
5262,54.8011,93.3445
5262.5,55.6421,91.8497
5263,56.2828,90.7374
5263.5,57.7668,97.2439
5264,58.514,100.6003
5264.5,58.8157,96.759
5265,59.5449,101.5898
5265.5,59.3279,100.8434
5266,59.9775,100.0975
5266.5,59.9761,99.9682
5267,59.1095,98.0229
5267.5,58.2408,96.6746
5268,57.8396,103.2067
5268.5,59.1266,107.7531
5269,61.3458,115.5114
5269.5,63.6352,118.2708
5270,65.7535,122.518
5270.5,67.7144,121.5748
5271,67.0669,118.5642
5271.5,64.1366,117.6584
5272,62.1099,113.4849
5272.5,61.3847,112.8548
5273,62.3143,111.5389
5273.5,64.2225,111.6536
5274,65.8646,113.3819
5274.5,68.4385,114.3161
5275,68.7745,119.0208
5275.5,67.5095,120.3392
5276,65.7249,119.6026
5276.5,63.7478,113.004
5277,62.5745,113.486
5277.5,62.9193,113.4384
5278,62.179,110.6706
5278.5,64.1035,107.3615
5279,65.2446,109.1034
5279.5,66.7362,111.8719
5280,68.6444,112.5593
5280.5,67.3215,112.367
5281,66.5523,111.9736
5281.5,64.8702,107.6441
5282,59.5775,95.8828
5282.5,57.0456,95.0925
5283,55.1871,93.0527
5283.5,53.7816,93.6994
5284,53.762,86.8867
5284.5,55.1262,88.1569
5285,54.4612,91.7235
5285.5,54.3124,90.0884
5286,53.9182,88.3181
5286.5,54.1402,89.2835
5287,55.2618,91.3558
5287.5,57.695,144.4198
5288,59.5695,127.5653
5288.5,60.5059,112.2707
5289,63.6016,116.3659
5289.5,64.4557,125.5082
5290,64.5328,128.6028
5290.5,65.1659,98.631
5291,65.4158,99.1624
5291.5,65.6417,111.7458
5292,65.9307,119.1852
5292.5,67.0944,124.9871
5293,68.1704,124.3632
5293.5,69.6685,125.8357
5294,70.0246,128.0334
5294.5,69.9523,131.0499
5295,70.3418,128.1228
5295.5,68.6371,126.6188
5296,65.3659,125.765
5296.5,62.7738,112.9288
5297,60.0301,110.5915
5297.5,56.8339,101.7155
5298,56.5426,103.1925
5298.5,62.1841,110.3809
5299,66.2553,110.0348
5299.5,70.8229,111.7148
5300,72.2825,112.2541
5300.5,71.6002,112.8613
5301,68.8712,121.1135
5301.5,65.0932,123.1137
5302,65.8073,124.9882
5302.5,62.7285,128.9845
5303,62.3771,131.1137
5303.5,62.5137,138.0711
5304,60.3817,147.364
5304.5,55.3535,146.7156
5305,55.7934,146.7156
5305.5,54.0028,144.3957
5306,53.9996,140.1682
5306.5,54.2427,133.2588
5307,54.7154,126.2083
5307.5,53.9448,128.4745
5308,53.7153,96.4229
5308.5,52.8523,94.6773
5309,52.4354,92.738
5309.5,51.7245,91.4536
5310,51.1991,93.0264
5310.5,51.9846,94.0221
5311,50.8721,93.3931
5311.5,50.7803,97.6009
5312,50.9695,94.7759
5312.5,50.8878,92.0415
5313,50.0037,94.1712
5313.5,50.125,95.8702
5314,51.1565,94.4896
5314.5,51.2193,99.6296
5315,51.4669,99.5065
5315.5,51.835,105.1902
5316,52.3551,97.2687
5316.5,52.9514,94.2612
5317,53.8642,96.8512
5317.5,54.4041,92.9949
5318,54.3096,92.9949
5318.5,54.1962,91.6047
5319,54.1729,97.1004
5319.5,54.0153,95.6945
5320,53.9723,94.8079
5320.5,53.882,92.4818
5321,53.592,92.5459
5321.5,52.8308,94.1936
5322,52.6105,93.9054
5322.5,52.0761,94.9174
5323,51.9875,94.0315
5323.5,51.8896,92.6095
5324,52.6661,102.0201
