depth (ft),DTC (us/ft),DTS (us/ft)
5504,76.431,210.9944
5504.5,75.6976,217.9935
5505,77.6263,221.4337
5505.5,76.5097,185.8063
5506,75.4754,189.4076
5506.5,74.461,204.7377
5507,74.2089,213.4255
5507.5,74.8043,206.3733
5508,74.2346,212.5571
5508.5,73.1423,207.949
5509,73.9386,210.927
5509.5,74.307,214.2574
5510,71.933,194.2324
5510.5,71.4901,216.0625
5511,75.8502,165.4452
5511.5,79.2889,131.4427
5512,72.9854,118.4551
5512.5,68.9649,125.1019
5513,63.596,111.6827
5513.5,58.4226,106.556
5514,56.7549,107.8554
5514.5,57.8866,110.8667
5515,59.5933,111.7967
5515.5,64.1522,118.0134
5516,69.1965,127.0711
5516.5,71.8546,135.6593
5517,73.201,134.7073
5517.5,72.2377,142.8096
5518,73.4088,146.2584
5518.5,67.1576,169.6015
5519,61.9171,153.2063
5519.5,64.8437,153.843
5520,67.3067,156.5835
5520.5,73.4435,160.6279
5521,73.2215,159.826
5521.5,71.2405,137.3972
5522,70.844,130.8512
5522.5,68.9748,127.5036
5523,63.5132,115.4523
5523.5,61.7214,113.3777
5524,62.2059,114.7823
5524.5,66.4457,116.39
5525,66.0945,114.383
5525.5,65.2802,111.8031
5526,63.5971,111.4935
5526.5,61.2827,110.887
5527,60.1973,111.7165
5527.5,60.2166,111.8583
5528,60.8786,111.1598
5528.5,62.7547,113.9214
5529,68.032,116.5436
5529.5,72.1906,125.3543
5530,75.2582,127.0671
5530.5,79.0708,131.1566
5531,79.9154,133.407
5531.5,78.5013,133.3958
5532,74.5631,127.7082
5532.5,68.1716,120.5578
5533,62.9929,115.085
5533.5,59.7079,110.8984
5534,57.0519,105.5802
5534.5,56.5451,107.1765
5535,57.2717,108.3915
5535.5,57.4953,105.6429
5536,60.7762,111.8066
5536.5,63.9178,111.8066
5537,64.4464,110.9237
5537.5,64.6866,110.0658
5538,63.6442,112.8982
5538.5,63.6883,113.3326
5539,63.7482,115.8324
5539.5,64.6852,115.1425
5540,66.4483,121.3633
5540.5,67.8895,125.0909
5541,69.7918,124.895
5541.5,69.8116,126.3143
5542,69.9647,126.275
5542.5,68.6857,127.529
5543,69.7099,128.5658
5543.5,69.3759,133.5529
5544,70.1109,122.8948
5544.5,71.7568,127.1754
5545,73.5156,134.6223
5545.5,75.404,164.9515
5546,76.1164,143.4185
5546.5,77.7627,144.8295
5547,80.56,148.5362
5547.5,82.9244,147.4831
5548,80.9576,145.6863
5548.5,80.9201,142.0122
5549,78.1626,137.6319
5549.5,73.2699,125.706
5550,69.7909,119.0851
5550.5,68.0024,114.0677
5551,65.3242,112.4569
5551.5,66.0068,110.3835
5552,66.6811,104.7349
5552.5,65.7852,105.2655
5553,65.7071,107.6254
5553.5,67.6849,111.17
5554,68.9146,114.5956
5554.5,73.8929,125.446
5555,75.4825,159.3778
5555.5,77.5403,163.418
5556,77.4351,160.4961
5556.5,73.996,151.631
5557,74.0218,146.7919
5557.5,75.6834,140.1237
5558,63.4981,127.7666
5558.5,61.5157,95.363
5559,60.2115,93.0247
5559.5,62.2166,96.9464
5560,65.5203,101.1183
5560.5,69.5316,108.8688
5561,70.4368,112.8579
5561.5,71.5373,110.5387
5562,72.9965,114.3556
5562.5,73.9573,114.4867
5563,74.6471,125.6919
5563.5,74.341,124.7552
5564,74.3619,126.5651
5564.5,75.0631,124.7911
5565,74.0817,125.0407
5565.5,74.3539,126.0265
5566,74.121,125.6208
5566.5,73.7167,133.6697
5567,74.0161,142.6472
5567.5,74.998,146.6204
5568,75.1498,143.5889
5568.5,75.3635,151.5122
5569,75.0409,152.1582
5569.5,75.795,150.9697
5570,75.4415,151.8461
5570.5,74.6046,159.7107
5571,74.3736,160.1916
5571.5,74.0852,147.1762
5572,73.3222,151.163
5572.5,71.4207,140.8213
5573,69.5745,145.1871
5573.5,69.6661,152.6031
5574,70.3332,148.0389
5574.5,72.068,154.5104
5575,74.4234,167.6421
5575.5,76.4534,166.5109
5576,79.7452,168.5368
5576.5,82.1105,168.5368
5577,82.7547,168.4601
5577.5,82.8815,169.1611
5578,81.6468,145.6718
5578.5,80.7961,132.7119
5579,80.3926,135.0234
5579.5,80.2638,134.2587
5580,80.3843,139.0827
5580.5,80.6977,137.5316
5581,82.1231,142.4557
5581.5,83.3646,147.2366
5582,83.8859,151.8111
5582.5,84.6573,154.3676
5583,84.6741,153.2825
5583.5,84.6391,151.3786
5584,82.7502,155.9838
5584.5,78.2661,146.4308
5585,74.5514,137.8542
5585.5,71.2226,132.6473
5586,60.7676,127.4205
5586.5,70.9471,134.2414
5587,72.7468,134.8155
5587.5,74.2357,132.6978
5588,74.8638,133.0024
5588.5,72.9544,124.2523
5589,69.2773,121.2105
5589.5,63.0657,105.9818
5590,59.138,101.9181
5590.5,57.2661,100.4932
5591,56.7153,100.1398
5591.5,58.7371,92.9334
5592,62.4882,97.31
5592.5,64.2781,104.1545
5593,67.2021,108.5588
5593.5,68.2931,111.837
5594,68.9309,111.648
5594.5,68.6481,113.681
5595,68.9661,113.3376
5595.5,69.22,113.2995
5596,70.7939,114.3331
5596.5,70.5121,114.5539
5597,71.3585,114.9346
5597.5,70.9152,114.9346
5598,70.8468,115.7159
5598.5,70.8721,116.0126
5599,70.2289,117.903
5599.5,70.193,116.5287
5600,71.1016,118.569
5600.5,71.3937,119.2334
5601,72.618,122.3373
5601.5,73.5968,123.4259
5602,73.7801,125.8836
5602.5,73.544,124.8298
5603,73.9816,125.8248
5603.5,73.3709,125.8248
5604,73.4173,124.7851
5604.5,73.2171,125.5376
5605,73.4004,124.4892
5605.5,73.589,124.6017
5606,74.1145,126.0915
5606.5,74.5303,124.6237
5607,74.3166,124.14
5607.5,74.1878,121.6227
5608,73.2606,121.8647
5608.5,72.7535,124.0868
5609,72.1784,122.0593
5609.5,69.7213,117.6897
5610,68.452,115.0965
5610.5,65.2608,112.4331
5611,63.0787,105.2845
5611.5,61.4254,101.9141
5612,60.724,101.5863
5612.5,63.2124,104.357
5613,65.2672,107.5334
5613.5,66.6696,111.6887
5614,69.2573,113.2924
5614.5,68.9751,114.508
5615,67.9536,114.0778
5615.5,66.9664,111.9133
5616,65.4343,110.7747
5616.5,64.6474,109.4583
5617,66.3625,113.4808
5617.5,69.268,113.649
5618,71.1142,114.8445
5618.5,72.9654,117.9422
5619,74.9957,122.0553
5619.5,75.4375,123.0398
5620,75.8023,124.1254
5620.5,76.0432,123.5707
5621,75.5611,124.5396
5621.5,75.095,124.6173
5622,74.9099,124.4385
5622.5,74.3812,124.4385
5623,74.1999,122.952
5623.5,74.646,122.6379
5624,74.5071,122.6921
5624.5,74.3112,123.2387
5625,73.7194,120.3747
5625.5,72.4624,118.5486
5626,71.1051,117.096
5626.5,70.6822,115.8198
5627,70.3619,115.8198
5627.5,69.0206,113.6181
5628,67.7949,112.8619
5628.5,65.9994,111.412
5629,64.516,112.6249
5629.5,66.1759,112.5635
5630,67.0345,112.7828
5630.5,68.3836,114.6919
5631,71.5383,116.3628
5631.5,74.4867,115.9261
5632,74.4273,122.4577
5632.5,74.0391,121.025
5633,74.1778,122.3938
5633.5,76.0853,122.8201
5634,77.6462,123.4365
5634.5,77.6133,126.0689
5635,78.3501,125.8259
5635.5,78.3181,124.4501
5636,78.0467,121.9566
5636.5,75.4812,118.1153
5637,73.1674,115.5771
5637.5,72.0912,114.7699
5638,68.9259,111.2941
5638.5,69.2435,109.3699
5639,69.9642,111.062
5639.5,70.543,110.354
5640,73.159,113.7065
5640.5,74.8043,113.2097
5641,76.7508,116.441
5641.5,78.5692,122.2197
5642,78.5151,126.6107
5642.5,79.3607,128.2761
5643,77.3414,125.0779
5643.5,76.3145,124.4781
5644,74.5223,125.9148
5644.5,72.2439,116.5133
5645,71.5484,111.7083
5645.5,71.2744,110.9965
5646,74.2697,122.786
5646.5,77.992,124.801
5647,81.1206,127.5374
5647.5,84.4515,131.7921
5648,86.3557,135.9929
5648.5,87.5159,133.3296
5649,87.7657,131.5643
5649.5,87.7473,134.3716
5650,86.7222,134.9944
5650.5,86.6603,133.6457
5651,86.0151,135.0096
5651.5,84.7356,135.4717
5652,85.3825,133.8639
5652.5,84.5175,134.9247
5653,85.5682,141.8246
5653.5,87.1359,145.3291
5654,87.5808,145.1884
5654.5,88.4334,144.9826
5655,87.3212,147.1473
5655.5,86.6307,147.1473
5656,85.9471,133.9389
5656.5,86.0094,135.8597
5657,85.6081,135.4689
5657.5,85.5285,140.2865
5658,85.5576,134.5243
5658.5,85.7306,134.8934
5659,84.8466,134.2
5659.5,83.111,132.7976
5660,79.071,124.4277
5660.5,76.678,112.3774
5661,75.2402,107.6551
5661.5,73.2127,111.5516
5662,73.6708,113.5135
5662.5,75.5196,114.5987
5663,77.7601,124.7357
5663.5,81.5222,125.9186
5664,82.9281,124.0584
5664.5,85.1276,127.3518
5665,85.8391,122.9005
5665.5,84.7476,126.5885
5666,84.6007,123.718
5666.5,85.4165,117.6158
5667,85.1333,125.4606
5667.5,84.4426,129.6789
5668,80.858,132.306
5668.5,77.3931,127.5487
5669,75.4639,127.8361
5669.5,74.4012,124.0476
5670,74.1618,140.4343
5670.5,74.3954,122.2724
5671,77.0368,115.6221
5671.5,80.5363,120.3653
5672,83.9446,126.9501
5672.5,84.3844,128.2294
5673,89.3267,144.8112
5673.5,89.5615,146.1237
5674,88.9772,142.1566
5674.5,87.9125,145.1475
5675,88.1783,145.791
5675.5,88.423,150.9762
5676,88.4257,146.7463
5676.5,87.8525,144.4118
5677,86.9126,145.4641
5677.5,86.9576,143.7993
5678,85.1228,140.7209
5678.5,82.0821,134.49
5679,80.5414,133.0732
5679.5,78.8379,131.946
5680,78.5179,128.0527
5680.5,78.6605,127.806
5681,77.012,128.9729
5681.5,77.8938,128.8008
5682,78.5412,128.2948
5682.5,79.1244,129.1937
5683,77.9248,128.5187
5683.5,79.365,131.963
5684,80.7316,131.0831
5684.5,82.2868,130.0952
5685,84.1664,134.0982
5685.5,84.9068,132.3206
5686,85.7389,132.4679
5686.5,85.4378,128.006
5687,81.8673,130.1218
5687.5,79.8659,130.4812
5688,78.8797,124.4812
5688.5,74.5756,125.0634
5689,73.3258,125.7622
5689.5,72.4583,124.2917
5690,74.2568,121.0682
5690.5,74.9697,119.2305
5691,75.2051,115.9481
5691.5,73.71,114.9371
5692,72.4702,112.303
5692.5,69.9236,115.6006
5693,69.8147,113.9939
5693.5,70.8692,113.7577
5694,72.3983,115.2951
5694.5,75.9123,119.56
5695,80.2878,123.0747
5695.5,82.1856,126.8837
5696,83.2562,127.0446
5696.5,84.1021,128.473
5697,83.4774,128.759
5697.5,82.9713,129.0268
5698,82.5993,132.0188
5698.5,81.5099,134.0983
5699,80.5184,134.3276
5699.5,80.059,132.3602
5700,80.4271,129.6706
5700.5,80.5163,132.4276
5701,80.3526,134.3709
5701.5,80.7316,130.7135
5702,81.2933,126.8314
5702.5,82.0466,126.7065
5703,83.2637,134.549
5703.5,83.9327,134.8689
5704,81.6511,134.2689
5704.5,77.7334,126.4471
5705,75.087,125.7429
5705.5,74.1649,126.0475
5706,72.209,125.6419
5706.5,72.7186,126.3086
5707,78.0571,130.6636
5707.5,82.1252,133.0569
5708,83.0519,132.4611
5708.5,84.244,134.3414
5709,85.6863,135.4495
5709.5,86.5789,136.6648
5710,85.8179,133.3363
5710.5,85.2553,133.8673
5711,85.6193,133.4291
5711.5,84.076,133.1446
5712,83.361,131.9179
5712.5,83.0876,131.0092
5713,83.3895,130.2626
5713.5,83.8327,131.0373
5714,84.331,131.1909
5714.5,85.3455,132.3049
5715,84.485,129.2368
5715.5,81.1726,129.0889
5716,78.9807,128.1858
5716.5,75.2698,125.1758
5717,73.3478,123.8613
5717.5,69.7451,121.5697
5718,69.7745,119.8464
5718.5,72.0958,120.6008
5719,75.1529,122.0821
5719.5,76.4381,123.2619
5720,77.7715,125.3393
5720.5,80.0174,127.1788
5721,81.0918,125.9927
5721.5,79.5702,124.8805
5722,77.9827,124.7322
5722.5,77.3885,123.7883
5723,77.5683,124.0525
5723.5,78.7205,125.1016
5724,79.9317,125.1219
5724.5,80.8005,126.9208
5725,82.0709,127.018
5725.5,82.9143,127.4774
5726,83.476,127.6687
5726.5,81.1278,126.7756
5727,79.752,126.2206
5727.5,77.3741,125.1705
5728,76.8694,123.8176
5728.5,75.9141,124.6577
5729,73.0515,123.856
5729.5,69.7234,115.841
5730,67.0946,113.6646
5730.5,60.2452,111.2374
5731,57.6164,109.3135
5731.5,57.3371,108.42
5732,60.3403,106.3821
5732.5,63.3494,107.177
5733,68.4286,110.3354
5733.5,73.2424,113.1579
5734,76.2612,114.763
5734.5,79.2137,115.4693
5735,80.3713,124.1693
5735.5,81.5243,125.7862
5736,82.5446,126.3016
5736.5,83.4686,127.4088
5737,84.8253,128.1366
5737.5,84.9068,127.9257
5738,84.8555,128.1933
5738.5,84.1446,127.7575
5739,83.6003,127.2406
5739.5,83.0548,126.8281
5740,82.5072,126.8579
5740.5,80.7152,126.8902
5741,80.4987,125.7934
5741.5,79.9424,124.7561
5742,78.4099,123.5189
5742.5,76.6178,122.6995
5743,76.4425,122.3887
5743.5,76.824,122.9912
5744,77.1387,124.0286
5744.5,81.2044,125.5133
5745,81.8944,127.4459
5745.5,84.3786,128.137
5746,84.7383,129.7151
5746.5,84.6671,130.5924
5747,84.7441,130.8311
5747.5,84.3399,129.7342
5748,84.2929,128.6469
5748.5,84.6786,127.9453
5749,84.6649,128.2839
5749.5,85.0521,127.7987
5750,84.7769,128.102
5750.5,84.1525,127.8207
5751,83.8226,126.9895
5751.5,81.9451,125.6743
5752,80.5226,124.5869
5752.5,80.3296,123.9797
5753,80.3091,122.5424
5753.5,80.6531,122.3036
5754,81.1927,122.6293
5754.5,81.3126,122.1949
5755,81.3578,124.3173
5755.5,82.2492,124.0584
5756,81.5036,123.6091
5756.5,81.5934,124.2324
5757,80.6856,123.0698
5757.5,80.6448,123.9408
5758,80.669,123.3357
5758.5,81.1281,122.5391
5759,81.3456,124.3381
5759.5,82.2921,125.8278
5760,83.4313,125.1923
5760.5,84.0321,126.4138
5761,84.5431,126.9292
5761.5,85.5687,127.1085
5762,85.9272,126.8257
5762.5,85.9163,126.8872
5763,84.2442,123.5915
5763.5,82.3108,126.0601
5764,80.8418,125.7098
5764.5,79.9642,124.7833
5765,79.0074,122.134
5765.5,78.8132,122.2089
5766,77.8864,122.7318
5766.5,78.6606,123.2711
5767,79.1586,116.4044
5767.5,79.1366,120.6934
5768,79.6095,122.6097
5768.5,80.1305,122.8003
5769,80.8544,123.0372
5769.5,81.9706,123.16
5770,82.4388,124.9727
5770.5,83.3118,123.0193
5771,83.074,121.7966
5771.5,80.6752,122.715
5772,79.8062,121.1136
5772.5,79.837,121.068
5773,80.4285,122.0678
5773.5,81.7072,121.9891
5774,83.0596,124.1
5774.5,83.5294,123.0214
5775,82.0849,120.5371
5775.5,79.9832,122.5498
5776,78.2707,121.0776
5776.5,77.3959,117.6757
5777,77.4137,115.8912
5777.5,78.6138,116.768
5778,81.5622,121.3675
5778.5,83.8273,123.3325
5779,84.2481,121.5657
5779.5,84.4404,124.4378
5780,83.3135,125.6869
5780.5,82.3178,125.3393
5781,81.8363,123.0981
5781.5,82.2988,124.3624
5782,82.5183,124.229
5782.5,83.9683,125.5137
5783,84.9444,125.2814
5783.5,85.6143,126.0131
5784,84.9706,126.921
5784.5,84.3101,126.8485
5785,83.6744,125.6502
5785.5,82.9335,124.5955
5786,82.9428,124.9937
5786.5,83.257,124.9938
5787,83.5428,125.6115
5787.5,83.7932,125.4423
5788,83.3394,125.1823
5788.5,83.5894,125.4647
5789,82.7225,124.3202
5789.5,81.5738,120.9421
5790,81.4765,118.644
5790.5,80.7467,121.2718
5791,80.5431,121.5218
5791.5,80.2575,119.6747
5792,80.309,114.0635
5792.5,80.6502,115.2964
5793,80.4975,117.0616
5793.5,80.2386,114.6356
5794,80.3238,114.1325
5794.5,80.5505,113.4139
5795,79.862,113.4942
5795.5,79.9064,114.131
5796,79.9669,114.7681
5796.5,79.9326,112.4237
5797,80.1025,116.087
5797.5,80.1269,113.1366
5798,80.478,120.6351
5798.5,80.7119,114.1307
5799,81.6049,115.2099
5799.5,82.2719,121.7226
5800,83.4715,121.5447
5800.5,83.9167,121.206
5801,84.325,121.4958
5801.5,84.8313,122.6272
5802,85.1434,123.0896
5802.5,85.6949,124.39
5803,85.8582,124.1036
5803.5,85.816,127.3184
5804,85.7251,126.1312
5804.5,85.347,124.6059
5805,84.6808,125.9585
5805.5,84.4231,126.8281
5806,83.6227,125.2806
5806.5,81.9688,124.941
5807,81.8883,124.7841
5807.5,82.4147,127.2824
5808,83.0591,129.9433
5808.5,82.2371,126.6451
5809,82.0502,125.7692
5809.5,82.7048,128.145
5810,82.082,126.8328
5810.5,81.0522,127.9058
5811,81.5285,122.7786
5811.5,83.1459,124.7937
5812,84.3982,124.3692
5812.5,84.5604,127.1005
5813,85.4958,128.1455
5813.5,85.2657,128.1455
5814,85.6671,130.8205
5814.5,85.7527,131.5379
5815,86.0286,128.0494
5815.5,86.3232,132.1273
5816,87.091,131.8754
5816.5,88.2734,132.9064
5817,88.7386,133.9962
5817.5,89.057,134.2759
5818,88.4834,134.7083
5818.5,87.6441,133.8383
5819,87.046,133.7945
5819.5,86.062,133.4015
5820,85.1143,130.4034
5820.5,83.971,128.5321
5821,84.1451,126.8922
5821.5,83.7596,125.9124
5822,83.9862,124.5133
5822.5,83.9847,125.1303
5823,83.4823,125.337
5823.5,83.198,124.4652
5824,82.8109,124.462
5824.5,82.8036,124.424
5825,83.2975,125.6998
5825.5,83.5702,124.9233
5826,83.6878,126.2469
5826.5,84.1346,123.3736
5827,84.6242,120.8127
5827.5,84.2627,126.6557
5828,83.5035,125.6043
5828.5,83.368,126.0236
5829,83.5601,126.8357
5829.5,83.4257,126.6195
5830,83.4078,126.0124
5830.5,83.3373,126.1762
5831,83.6781,128.3156
5831.5,84.2587,127.8825
5832,84.1687,129.8275
5832.5,84.2967,131.4624
5833,84.1752,131.8314
5833.5,83.758,132.0697
5834,84.1176,132.1243
5834.5,84.0455,131.3737
5835,84.1081,133.7087
5835.5,85.065,135.1214
5836,85.0758,133.964
5836.5,84.6912,133.4425
5837,84.1627,133.4179
5837.5,82.7684,130.2077
5838,82.4856,130.1926
5838.5,82.1498,132.522
5839,82.8679,132.3399
5839.5,83.4953,133.8889
5840,83.8309,134.2143
5840.5,84.1316,144.968
5841,84.2992,145.7241
5841.5,83.6617,145.9456
5842,82.149,144.313
5842.5,80.5233,130.9942
5843,80.0039,127.2731
5843.5,79.7283,124.6356
5844,79.535,120.9051
5844.5,80.164,120.9779
5845,82.7995,123.7669
5845.5,84.152,124.6766
5846,85.2988,125.4739
5846.5,85.956,133.1327
5847,86.4868,133.7524
5847.5,86.3343,133.3499
5848,86.508,134.8651
5848.5,86.2372,134.0712
5849,86.2406,139.8916
5849.5,84.9496,136.6826
5850,83.8212,137.9543
5850.5,83.1171,137.7527
5851,82.5631,141.379
5851.5,83.237,142.1276
5852,82.8529,147.684
5852.5,85.0426,150.1197
5853,86.1536,155.2795
5853.5,87.2461,159.7369
5854,87.4499,158.5105
5854.5,86.8914,161.9965
5855,86.4141,161.62
5855.5,86.2088,163.7099
5856,85.6347,164.4676
5856.5,85.6319,162.7157
5857,85.6039,163.481
5857.5,85.8627,167.7781
5858,85.9501,166.6571
5858.5,86.2141,164.9105
5859,86.6612,164.4025
5859.5,87.4597,163.4381
5860,87.6951,163.2272
5860.5,88.3401,164.9498
5861,88.396,162.2053
5861.5,88.1724,161.9521
5862,88.2708,161.7997
5862.5,88.2711,158.0193
5863,88.3495,158.8503
5863.5,88.322,157.2452
5864,89.2886,157.7895
5864.5,90.096,160.1796
5865,90.2109,161.0809
5865.5,90.6058,157.5551
5866,90.9662,159.5893
5866.5,91.3688,158.2029
5867,90.6987,156.4012
5867.5,90.0455,157.4404
5868,89.4931,155.4621
5868.5,88.9737,152.6108
5869,88.3945,144.6901
5869.5,88.1951,154.4859
5870,88.4201,156.742
5870.5,88.2996,157.5187
5871,88.5704,157.4026
5871.5,88.4477,157.2648
5872,88.3844,159.0683
5872.5,88.5079,157.3673
5873,88.3866,157.8957
5873.5,88.1452,154.4595
5874,88.5193,153.4557
5874.5,88.4035,156.1658
5875,88.8198,155.7832
5875.5,88.5089,156.3777
5876,88.41,155.6303
5876.5,88.3283,142.5549
5877,88.1346,138.9747
5877.5,88.4238,151.2452
5878,88.537,150.9281
5878.5,88.4659,152.0074
5879,88.9897,151.4055
5879.5,88.521,144.4238
5880,88.9252,143.9958
5880.5,88.4663,143.983
5881,87.7436,144.9525
5881.5,87.1038,144.0575
5882,86.9444,148.8544
5882.5,86.116,150.0963
5883,85.9692,149.3938
5883.5,85.8965,147.4832
5884,86.1983,141.5419
5884.5,86.6493,138.8607
5885,86.7551,146.3771
5885.5,87.2842,145.0132
5886,87.5794,144.26
5886.5,87.941,145.5135
5887,87.9367,145.1858
5887.5,87.9375,146.1973
5888,87.8036,147.868
5888.5,87.9971,146.3048
5889,88.2193,145.6322
5889.5,87.8222,145.5341
5890,86.9423,144.7466
5890.5,86.2033,141.8957
5891,85.5827,140.5871
5891.5,85.1897,141.2023
5892,84.6527,135.7686
5892.5,83.4009,136.4842
5893,82.4152,134.6938
5893.5,81.1497,128.9091
5894,80.0839,127.6461
5894.5,79.4448,127.7804
5895,78.1204,125.3568
5895.5,77.9003,125.3128
5896,76.4133,122.2096
5896.5,72.1589,113.9961
5897,68.8889,113.8867
5897.5,65.1843,111.584
5898,64.1933,105.7391
5898.5,64.1488,109.6221
5899,66.0978,111.4149
5899.5,70.5806,114.6563
5900,76.3468,122.0103
5900.5,78.9121,122.2771
5901,80.0829,125.7076
5901.5,79.0935,126.1754
5902,77.3406,126.642
5902.5,76.817,125.7727
5903,76.367,126.71
5903.5,77.9276,129.0925
5904,79.981,132.8103
5904.5,81.3062,134.2205
5905,83.9078,137.3727
5905.5,84.8098,144.476
5906,85.6024,142.0035
5906.5,85.4534,141.7831
5907,84.5134,142.1215
5907.5,84.1312,137.7482
5908,83.7477,133.5569
5908.5,83.3576,134.8383
5909,82.2168,132.0682
5909.5,80.4414,131.1364
5910,79.815,129.392
5910.5,79.6086,127.1269
5911,77.204,125.5275
5911.5,75.7594,124.1887
5912,74.9215,121.8623
5912.5,73.4224,120.0882
5913,72.8573,116.2942
5913.5,73.07,120.6182
5914,73.9077,122.0703
5914.5,75.563,124.3851
5915,76.8246,126.0478
5915.5,79.0323,126.8915
5916,79.9743,127.4347
5916.5,80.4433,127.8576
5917,81.0257,128.1946
5917.5,80.638,129.0421
5918,80.7068,129.1186
5918.5,81.2233,129.7835
5919,81.7006,129.7426
5919.5,81.202,129.9787
5920,80.7412,129.5675
5920.5,80.1201,128.2567
5921,79.1079,127.1283
5921.5,77.5763,126.2718
5922,76.1228,122.7613
5922.5,75.4549,121.9143
5923,74.1141,121.4406
5923.5,73.9473,118.5618
5924,74.0054,120.4982
5924.5,73.7841,121.4419
5925,72.5371,120.6889
5925.5,72.4149,121.1838
5926,73.1877,122.0815
5926.5,73.8543,123.376
5927,75.7921,123.6744
5927.5,75.9495,123.8678
5928,77.166,124.6004
5928.5,77.2953,124.6647
5929,77.9535,124.8396
5929.5,77.9343,126.0616
5930,77.9909,124.9968
5930.5,78.4239,125.056
5931,74.8935,123.4234
5931.5,71.46,116.0736
5932,68.0691,113.066
5932.5,60.0799,110.9989
5933,57.3424,107.4174
5933.5,54.2169,102.5804
5934,52.8128,102.0304
5934.5,52.7002,101.2006
5935,53.4376,100.4816
5935.5,53.3196,98.6833
5936,53.6046,102.7397
5936.5,54.9451,103.7343
5937,54.9311,105.0613
5937.5,55.5625,105.276
5938,55.9863,106.4754
5938.5,55.4372,105.2418
5939,54.9961,104.1105
5939.5,52.9485,100.0364
5940,50.3725,100.0364
5940.5,49.2245,98.7386
5941,48.3491,97.1099
5941.5,47.4967,94.3891
5942,48.0447,94.1347
5942.5,48.2794,95.9268
5943,48.2097,95.2475
5943.5,47.916,94.6444
5944,48.0967,93.6729
5944.5,47.6582,94.3155
5945,47.6834,94.0831
5945.5,47.6505,94.1157
5946,47.0508,92.5353
5946.5,47.5944,94.8537
5947,47.597,95.0798
5947.5,47.6647,94.13
5948,47.8461,95.3541
5948.5,48.2262,95.8157
5949,48.8118,95.9997
5949.5,48.2849,96.0642
5950,47.9397,96.296
5950.5,48.0902,95.0955
5951,47.9973,94.5927
5951.5,48.0092,94.8583
5952,47.772,92.6431
5952.5,47.8409,92.6038
5953,47.8587,90.9514
5953.5,48.0754,92.111
5954,48.1107,91.1993
5954.5,48.089,92.2974
5955,48.1045,93.4513
5955.5,48.2285,92.1186
5956,47.9994,90.5096
5956.5,47.8446,91.4304
5957,47.6434,90.0729
5957.5,47.7023,90.1901
5958,47.3863,92.5546
5958.5,47.2963,92.6292
5959,47.6823,92.56
5959.5,47.9757,92.5128
5960,48.265,92.6756
5960.5,48.54,95.3978
5961,48.7293,93.8084
5961.5,49.0577,92.8415
5962,48.8604,92.6876
5962.5,48.3978,91.6948
5963,47.9122,88.5612
5963.5,47.5763,91.3712
5964,47.4574,93.1077
5964.5,47.0713,90.8648
5965,47.0474,90.2006
5965.5,47.1553,92.7936
5966,47.3188,92.0998
5966.5,47.3886,95.1596
5967,47.726,93.2909
5967.5,47.618,91.6434
5968,47.4288,90.7756
5968.5,47.1305,89.3758
5969,46.8232,91.2585
5969.5,46.6131,80.977
5970,46.5499,87.8106
5970.5,46.7042,88.4874
5971,47.6741,87.3968
5971.5,48.4841,86.3089
5972,48.3223,88.3654
5972.5,48.7144,89.144
5973,48.9029,90.131
5973.5,47.8978,91.4298
5974,47.3416,91.5697
5974.5,47.1569,91.9039
5975,47.2102,92.6634
5975.5,47.0711,91.8785
5976,47.4446,92.573
5976.5,47.4007,91.2781
5977,47.1277,91.0013
5977.5,47.5375,90.3406
5978,47.6901,89.1485
5978.5,47.9618,89.0838
5979,48.4448,93.487
5979.5,49.6822,92.1435
5980,49.9531,90.5042
5980.5,49.8154,92.4145
5981,49.49,92.1112
5981.5,47.9704,91.4774
5982,47.9594,93.6041
5982.5,47.1456,89.9844
5983,47.2595,92.7321
5983.5,47.4248,91.047
5984,46.8138,91.997
5984.5,46.7092,91.8643
5985,46.8932,91.0513
5985.5,47.4013,92.0927
5986,47.0442,92.1823
5986.5,47.7931,95.4922
5987,47.7056,95.329
5987.5,47.6008,95.5177
5988,47.5698,94.5321
5988.5,47.5604,96.8851
5989,47.7435,96.0143
5989.5,47.3776,92.4174
5990,47.9541,94.6754
5990.5,47.9931,96.9724
5991,47.8618,92.6354
5991.5,47.8617,92.5329
5992,47.997,92.4836
5992.5,47.655,91.1135
5993,47.8056,90.0658
5993.5,47.7942,90.871
5994,47.73,95.3752
5994.5,47.9882,95.7349
5995,48.0475,91.8384
5995.5,48.1742,95.9447
5996,47.757,94.9004
5996.5,48.2875,96.2084
5997,47.92,93.2864
5997.5,47.9869,92.8726
5998,48.0453,94.3902
5998.5,47.9215,94.15
5999,47.913,91.3659
5999.5,47.9189,91.4016
6000,47.7868,92.0707
6000.5,47.7601,92.0943
6001,47.6163,91.9808
6001.5,47.7208,92.5823
6002,47.7467,91.4234
6002.5,47.7592,94.3063
6003,48.0114,92.8106
6003.5,48.1501,92.822
6004,48.124,93.6393
6004.5,48.126,93.0299
6005,47.9495,92.4317
6005.5,47.719,94.0728
6006,47.9213,92.7173
6006.5,48.042,93.2909
6007,47.8635,91.9795
6007.5,47.1257,89.6333
6008,46.8623,91.2264
6008.5,46.9466,92.4889
6009,46.4801,91.7024
6009.5,46.6557,91.2537
6010,46.7298,91.1986
6010.5,47.1382,90.8389
