Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
7323	40434	4.62963E-05	40434	4.62963E-05	0.1	-05:00	2537.78	4246.9	5885.98	-1.94	1.59	20140914t050004_988250z
7324	40434	0.001458333	40434	0.001458333	0.487	-05:00	1609.43	2347.96	5824.95	-2.66	1.67	20140914t050206_275750z
7325	40434	0.002546296	40434	0.002546296	0.328	-05:00	2645.43	4311.34	5401.16	-2.19	1.59	20140914t050340_366000z
7326	40434	0.006736111	40434	0.006736111	0.17	-05:00	2985.99	4186.06	5877.5	-2	1.64	20140914t050942_099750z
7327	40434	0.01537037	40434	0.01537037	0.481	-05:00	1177.98	4457.26	5884.39	-2.01	3.23	20140914t052208_347000z
7328	40434	0.017233796	40434	0.017233796	0.654	-05:00	2735.85	4529.75	5834	-2.04	1.31	20140914t052449_566750z
7329	40434	0.020393519	40434	0.020393519	0.465	-05:00	1121.25	4662.15	5835.97	-2.43	1.53	20140914t052922_343250z
7330	40434	0.021793981	40434	0.021793981	0.985	-05:00	1473.78	4037.05	5626	-2.26	1.3	20140914t053123_914750z
7331	40434	0.024074074	40434	0.024074074	0.196	-05:00	1980.64	2109.77	5876.28	-1.52	0.75	20140914t053440_135000z
7332	40434	0.025092593	40434	0.025092593	0.659	-05:00	1180.15	4162.21	5877.48	-2.32	1.19	20140914t053608_559000z
7333	40434	0.028854167	40434	0.028854167	0.65	-05:00	1956.28	2830.44	5680.08	-2.1	2.46	20140914t054133_445500z
7334	40434	0.034803241	40434	0.034803241	0.74	-05:00	1117.83	4410.46	5666.31	-2.47	1.61	20140914t055007_626750z
7335	40434	0.037627315	40434	0.037627315	0.45	-05:00	-594.34	4512.12	5451.39	-2.36	2.23	20140914t055411_287500z
7336	40434	0.040324074	40434	0.040324074	0.634	-05:00	-522.43	4562.14	5455.83	-2.51	3.05	20140914t055804_471750z
7337	40434	0.042743056	40434	0.042743056	0.795	-05:00	457.14	791.03	5843.71	-2.31	2.62	20140914t060133_588250z
7338	40434	0.044490741	40434	0.044490741	0.255	-05:00	2073.82	4761.97	5881.78	-2.38	0.98	20140914t060404_221500z
7339	40434	0.141643519	40434	0.141643519	0.648	-05:00	123.79	4511.15	5538.24	-2.67	1	20140914t082358_451750z
