Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
4410	40425	0.809305556	40425	0.809305556	0.709	-05:00	1828.76	4852.06	5849	-2.37	0.86	20140906t002524_647000z
4411	40425	0.80962963	40425	0.80962963	0.586	-05:00	651.44	4662.06	5785.92	-2.62	3.39	20140906t002552_378750z
4412	40425	0.809884259	40425	0.809884259	0.862	-05:00	2295.7	4462.17	5784.14	-2.28	1.2	20140906t002614_841750z
4413	40425	0.810289352	40425	0.810289352	0.985	-05:00	2208.74	4652.22	5649	-2.29	1.14	20140906t002649_039250z
4414	40425	0.8103125	40425	0.8103125	0.673	-05:00	2528.75	4652.12	5369	-2.31	1.13	20140906t002651_553000z
4415	40425	0.810347222	40425	0.810347222	0.612	-05:00	2188.73	4852.22	5369	-2.41	0.86	20140906t002654_393000z
4416	40425	0.810358796	40425	0.810358796	0.512	-05:00	639.76	4642.1	5788.78	-2.63	2.02	20140906t002655_183250z
4417	40425	0.81037037	40425	0.81037037	0.594	-05:00	2548.74	4732.16	5546.56	-2.31	1.36	20140906t002656_592750z
4418	40425	0.810891204	40425	0.810891204	0.355	-05:00	858.73	4750.7	5838.62	-2.55	2.12	20140906t002741_194000z
4419	40425	0.811041667	40425	0.811041667	0.404	-05:00	2348.75	4792.12	5829	-2.52	1.04	20140906t002754_468750z
4420	40425	0.811412037	40425	0.811412037	0.909	-05:00	888.72	5032.15	5769	-2.71	1.33	20140906t002826_788000z
4421	40425	0.811678241	40425	0.811678241	0.569	-05:00	1468.21	4572.21	5774.01	-1.32	1.64	20140906t002849_581250z
4422	40425	0.811712963	40425	0.811712963	0.345	-05:00	539.34	4727.77	5792.77	-2.66	3.25	20140906t002852_151750z
4423	40425	0.812118056	40425	0.812118056	0.764	-05:00	1688.8	4991.98	5789	-2.5	1.33	20140906t002927_699750z
4424	40425	0.813414352	40425	0.813414352	0.807	-05:00	1448.77	4652.03	5809	-2.51	2.43	20140906t003119_690000z
4425	40425	0.813703704	40425	0.813703704	0.483	-05:00	1608.78	4732.02	5789	-2.64	1.13	20140906t003144_410750z
4426	40425	0.814155093	40425	0.814155093	0.233	-05:00	581.79	4735.61	5802.89	-2.9	1.5	20140906t003223_064750z
4427	40425	0.814212963	40425	0.814212963	0.833	-05:00	1885.13	4492.12	5748.01	-2.34	1.88	20140906t003228_780750z
4428	40425	0.81431713	40425	0.81431713	0.416	-05:00	483.31	4693.86	5794.76	-2.71	1.79	20140906t003237_216500z
4429	40425	0.815	40425	0.815	0.74	-05:00	784.58	4549.52	5495.38	-2.32	3.24	20140906t003336_541000z
4430	40425	0.815011574	40425	0.815011574	0.68	-05:00	634.55	4702.08	5492.3	-2.58	2.39	20140906t003337_482750z
4431	40425	0.815451389	40425	0.815451389	0.828	-05:00	1488.75	4632.11	5809	-2.59	1.68	20140906t003415_731250z
4432	40425	0.815520833	40425	0.815520833	0.589	-05:00	908.76	4632.1	5829	-2.77	0.92	20140906t003421_447250z
4433	40425	0.816006944	40425	0.816006944	0.014	-05:00	1608.78	4611.97	5629	-2.27	0.71	20140906t003503_910000z
4434	40425	0.817013889	40425	0.817013889	0.524	-05:00	637.62	4682.09	5490.76	-2.57	2.95	20140906t003630_319000z
4435	40425	0.817152778	40425	0.817152778	0.418	-05:00	1808.73	4592.24	5729	-2.45	1.74	20140906t003642_337000z
4436	40425	0.818275463	40425	0.818275463	0.096	-05:00	1048.77	4592.05	5829	-2.08	1.61	20140906t003819_950500z
4437	40425	0.81837963	40425	0.81837963	0.898	-05:00	801.59	4782.15	5513.02	-2.57	3.3	20140906t003828_719750z
4438	40425	0.820011574	40425	0.820011574	0.401	-05:00	919.71	4422.09	5821.57	-2.69	0.82	20140906t004049_241750z
4439	40425	0.820300926	40425	0.820300926	0.569	-05:00	928.73	4692.16	5809	-2.39	2.72	20140906t004114_375750z
4440	40425	0.823402778	40425	0.823402778	0.714	-05:00	590.04	4802.15	5533.45	-2.79	1.41	20140906t004542_571250z
4441	40425	0.824027778	40425	0.824027778	0.799	-05:00	1648.78	4772.02	5849	-2.22	1.87	20140906t004636_705500z
4442	40425	0.824108796	40425	0.824108796	0.897	-05:00	588.75	4682.09	5722.36	-2.74	1.33	20140906t004643_706500z
4443	40425	0.824293981	40425	0.824293981	0.985	-05:00	1108.77	4732.06	5869	-2.25	1.87	20140906t004659_850250z
4444	40425	0.824988426	40425	0.824988426	0.295	-05:00	1468.83	5231.98	5449	-2.59	1.24	20140906t004759_217250z
4445	40425	0.825011574	40425	0.825011574	0.969	-05:00	348.78	4722.07	5495.25	-2.68	1.65	20140906t004801_781500z
4446	40425	0.825266204	40425	0.825266204	0.581	-05:00	1351.67	4362.1	5857.82	-2.05	2.74	20140906t004823_452500z
4447	40425	0.826203704	40425	0.826203704	0.889	-05:00	421.82	4610.81	5574.86	-2.95	1.33	20140906t004944_683250z
4448	40425	0.826759259	40425	0.826759259	0.298	-05:00	393.12	4753.67	5499.17	-2.77	2.38	20140906t005032_121500z
4449	40425	0.827083333	40425	0.827083333	0.175	-05:00	1228.75	4502.18	5856.44	-2.06	3.34	20140906t005100_036250z
4450	40425	0.827256944	40425	0.827256944	0.649	-05:00	1188.76	4812.08	5809	-2.53	1.58	20140906t005115_506250z
4451	40425	0.827453704	40425	0.827453704	0.763	-05:00	948.74	4732.13	5789	-2.54	3.02	20140906t005132_600250z
4452	40425	0.827476852	40425	0.827476852	0.547	-05:00	663.27	4613	5465.92	-2.3	2.59	20140906t005134_347250z
4453	40425	0.827534722	40425	0.827534722	0.387	-05:00	559.17	4603.48	5763.2	-2.93	1.56	20140906t005139_196250z
